id,clave,nombre
1,1,Ahualulco
2,2,Alaquines
3,3,Aquismón
4,4,Armadillo de los Infante
5,5,Cárdenas
6,6,Catorce
7,7,Cedral
8,8,Cerritos
9,9,Cerro de San Pedro
10,10,Ciudad del Maíz
11,11,Ciudad Fernández
12,12,Tancanhuitz
13,13,Ciudad Valles
14,14,Coxcatlán
15,15,Charcas
16,16,Ebano
17,17,Guadalcázar
18,18,Huehuetlán
19,19,Lagunillas
20,20,Matehuala
21,21,Mexquitic de Carmona
22,22,Moctezuma
23,23,Rayón
24,24,Rioverde
25,25,Salinas
26,26,San Antonio
27,27,San Ciro de Acosta
28,28,San Luis Potosí
29,29,San Martín Chalchicuautla
30,30,San Nicolás Tolentino
31,31,Santa Catarina
32,32,Santa María del Río
33,33,Santo Domingo
34,34,San Vicente Tancuayalab
35,35,Soledad de Graciano Sánchez
36,36,Tamasopo
37,37,Tamazunchale
38,38,Tampacán
39,39,Tampamolón Corona
40,40,Tamuín
41,41,Tanlajás
42,42,Tanquián de Escobedo
43,43,Tierra Nueva
44,44,Vanegas
45,45,Venado
46,46,Villa de Arriaga
47,47,Villa de Guadalupe
48,48,Villa de la Paz
49,49,Villa de Ramos
50,50,Villa de Reyes
51,51,Villa Hidalgo
52,52,Villa Juárez
53,53,Axtla de Terrazas
54,54,Xilitla
55,55,Zaragoza
56,56,Villa de Arista
57,57,Matlapa
58,58,El Naranjo
59,59,Villa de Pozos
