seccional,D_Local,D_Fed,municipio_id
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,1,1
8,2,1,1
9,2,1,1
10,2,1,1
11,2,1,1
12,2,1,1
13,2,1,1
14,2,1,1
98,1,1,6
99,1,1,6
101,1,1,6
102,1,1,6
103,1,1,6
105,1,1,6
106,1,1,6
107,1,1,6
108,1,1,6
110,1,1,6
111,1,1,6
112,1,1,6
113,1,1,6
114,1,1,6
115,1,1,6
116,1,1,6
117,1,1,6
118,1,1,6
119,1,1,7
120,1,1,7
121,1,1,7
122,1,1,7
123,1,1,7
124,1,1,7
125,1,1,7
126,1,1,7
127,1,1,7
128,1,1,7
129,1,1,7
130,1,1,7
131,1,1,7
132,1,1,7
133,1,1,7
134,1,1,7
135,1,1,7
384,1,1,15
385,1,1,15
386,1,1,15
387,1,1,15
388,1,1,15
389,1,1,15
390,1,1,15
391,1,1,15
392,1,1,15
393,1,1,15
394,1,1,15
395,1,1,15
396,1,1,15
397,1,1,15
398,1,1,15
399,1,1,15
400,1,1,15
401,1,1,15
402,1,1,15
403,1,1,15
404,1,1,15
490,1,1,20
491,1,1,20
492,1,1,20
493,1,1,20
494,1,1,20
495,1,1,20
496,1,1,20
497,1,1,20
498,1,1,20
499,1,1,20
500,1,1,20
501,1,1,20
502,1,1,20
503,1,1,20
504,1,1,20
505,1,1,20
506,1,1,20
507,1,1,20
508,1,1,20
509,1,1,20
510,1,1,20
511,1,1,20
512,1,1,20
513,1,1,20
514,1,1,20
515,1,1,20
516,1,1,20
517,1,1,20
518,1,1,20
519,1,1,20
520,1,1,20
521,1,1,20
522,1,1,20
523,1,1,20
524,1,1,20
525,1,1,20
526,1,1,20
527,1,1,20
528,1,1,20
529,1,1,20
530,1,1,20
531,1,1,20
532,1,1,20
533,1,1,20
534,1,1,20
535,1,1,20
536,1,1,20
537,1,1,20
538,1,1,20
539,1,1,20
540,1,1,20
541,1,1,20
542,1,1,20
543,1,1,20
544,1,1,20
545,1,1,20
546,1,1,20
547,1,1,20
548,1,1,20
549,1,1,20
550,1,1,20
551,1,1,20
552,1,1,20
553,1,1,20
554,1,1,20
555,2,1,21
556,2,1,21
557,2,1,21
558,2,1,21
559,2,1,21
560,2,1,21
561,2,1,21
562,2,1,21
563,2,1,21
564,2,1,21
565,2,1,21
566,2,1,21
567,2,1,21
568,2,1,21
569,2,1,21
570,2,1,21
571,2,1,21
572,2,1,21
573,2,1,21
574,2,1,21
575,2,1,21
576,2,1,21
577,2,1,21
578,2,1,21
